2015-02-20 12:27:59.988 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Lvl. 5
2015-02-20 12:28:03.333 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_difficulty_6 and subid 0
2015-02-20 12:28:03.333 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Lvl. 6
2015-02-20 12:28:20.244 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_stress and subid 0
2015-02-20 12:28:20.245 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - stress
2015-02-20 12:28:27.157 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_go_missing_story and subid 0
2015-02-20 12:28:27.158 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_go_missing_story]
2015-02-20 12:28:30.934 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_go_missing_found_story and subid 0
2015-02-20 12:28:30.934 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_go_missing_found_story]
2015-02-20 12:28:35.662 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_add_quirk_[quirk_name]_story and subid 0
2015-02-20 12:28:35.662 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_add_quirk_selfish_story]
2015-02-20 12:28:42.086 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_add_buff_[buff_name]_story and subid 0
2015-02-20 12:28:42.087 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_add_buff_buff_story
2015-02-20 12:28:48.022 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_bar_add_buff_townHungoverAccDebuff_story_desc and subid 0
2015-02-20 12:28:48.022 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - vision double
2015-02-20 12:28:52.887 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_currency_[lost|gained]_story and subid 0
2015-02-20 12:28:52.887 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_gained] $1234 [str_meditation_currency_gained_story]
2015-02-20 12:28:57.086 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_activity_lock_story and subid 0
2015-02-20 12:28:57.087 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_activity_lock_story]
2015-02-20 12:29:01.831 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_add_trinket_story and subid 0
2015-02-20 12:29:01.831 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_add_trinket_story][trinket name]
2015-02-20 12:29:05.887 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id str_[activity]_remove_trinket_story and subid 0
2015-02-20 12:29:05.887 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - - [hero name][str_meditation_remove_trinket_story][trinket name]
2015-02-20 12:29:11.019 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving file D:\Users\jdallard\Documents\GitHub\DarkestDungeonFr\localization - WORKSPACE\activity_log.string_table.xml
2015-02-20 12:29:14.448 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - File edited is : actor.string_table.xml
2015-02-20 12:29:14.449 [SwingWorker-pool-4-thread-6] INFO  fr.hermesdj.java.darkestdungeontranslationapp.LoadFileTask - Loading translation file D:\Users\jdallard\Documents\GitHub\DarkestDungeonFr\localization - WORKSPACE\actor.string_table.xml
2015-02-20 12:29:14.457 [SwingWorker-pool-4-thread-6] INFO  fr.hermesdj.java.darkestdungeontranslationapp.LoadFileTask - Parsing source language english
2015-02-20 12:29:14.459 [SwingWorker-pool-4-thread-6] INFO  fr.hermesdj.java.darkestdungeontranslationapp.LoadFileTask - This file contains 116 elements to translate.
2015-02-20 12:29:14.460 [SwingWorker-pool-4-thread-6] INFO  fr.hermesdj.java.darkestdungeontranslationapp.LoadFileTask - Parsing 116 elements...
2015-02-20 12:29:14.558 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Done loading file content !
2015-02-20 12:29:20.175 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_stat_tooltip_combat_stat_add_protection_rating and subid 0
2015-02-20 12:29:20.175 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - %+d%% PROT
2015-02-20 12:29:23.312 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_stat_tooltip_combat_stat_multiply_protection_rating and subid 0
2015-02-20 12:29:23.312 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - %+d%% PROT
2015-02-20 12:29:28.359 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_rule_tooltip_always and subid 0
2015-02-20 12:29:28.360 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - %s
2015-02-20 12:29:42.880 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_rule_data_tooltip_eldritch and subid 0
2015-02-20 12:29:42.881 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Eldritch
2015-02-20 12:29:47.176 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_rule_data_tooltip_bar and subid 0
2015-02-20 12:29:47.176 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Bar
2015-02-20 12:29:50.800 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_rule_data_tooltip_meditation and subid 0
2015-02-20 12:29:50.800 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Meditation
2015-02-20 12:29:54.409 [AWT-EventQueue-0] INFO  fr.hermesdj.java.darkestdungeontranslationapp.TranslationAppMain - Saving the following translation into id buff_rule_data_tooltip_flagellation and subid 0
